COURSE ,INSTRUCTOR,TITLE,TIME,ROOM
Announcements,,,,
ECS 010,"Butner, M ",Intro to Programming,"10:00 - 10:50 AM, MWF",CHEM 17
ECS 015,The Staff,Intro to Computers,"10:00 - 10:50 AM, MWF",SCILAB 202
ECS 020,"Max, N ",Discrete Math for CS,"9:00 - 9:50 AM, F",GIEDT 100
ECS 030,"Bishop, M ",Programming&Prob Solving,"10:00 - 10:50 AM, MWF",HOAGLD 16
ECS 040,"Gygi, F ",Software &Obj-Orient Prg,"12:10 - 1:30 PM, TR",HUTCH 11
ECS 050,"Butner, M ",Machine Dependent Prog,"4:10 - 5:00 PM, T",GIEDT 100
ECS 060,"Davis, S ",Data Structures and Prog,"4:10 - 5:00 PM, M",WELLMN 
ECS 092,The Staff,Internship In Comp Sci,	,TB
ECS 098,The Staff,Directed Gp Study,	,TB
ECS 099,The Staff,Special Study,"10:30 - 11:50 AM, TR",TB
ECS 120,The Staff,Theory Computation,"10:00 - 10:50 AM, M",HARING 122
ECS 122A,"Gusfield, D ",Algorithm Design,"4:10 - 5:00 PM, R",WELLMN 10
ECS 124,"Tagkopoulos, I ",Bioinformatics,"5:10 - 6:00 PM, M",ART 21
ECS 132,"Ghosal, D ",Prob & Sta Model for CS,"4:10 - 5:00 PM, F",RESSLR 5
ECS 140A,"Su, Z ",Programming Languages,"3:10 - 4:00 PM, W",HUNT 10
ECS 152A,"Ghosal, D ",Computer Networks,"10:00 - 10:50 AM, F",WELLMN 22
ECS 154A,"Davis, S ",Computer Architecture,"4:10 - 5:00 PM, W",SCRBOK 16
ECS 160,"Nitta, C ",Software Engineering,"9:00 - 10:20 AM, TR",WELLMN 10
ECS 171,"Tagkopoulos, I ",Machine Learning,"4:40 - 6:00 PM, TR",CHEM 16
ECS 175,"Hamann, B ",Computer Graphics,"12:10 - 1:00 PM, F",OLSON 11
ECS 188,"Franklin, M ",Ethics in an Age of Tech,"2:10 - 3:00 PM, MWF",TB
ECS 190C,The Staff,Research Group Conf,	,TB
ECS 192,The Staff,Intern In Cmptr Sci,	,TB
ECS 197T,The Staff,Tutoring in CS,	,TB
ECS 198,The Staff,Directed Gp Study,	,TB
ECS 199,The Staff,Special Study,"3:10 - 4:00 PM, M",TB
ECS 201A,"Farrens, M ",Computer Architecture,"1:40 - 3:00 PM, TR",WELLMN 21
ECS 221,"Tagkopoulos, I ",Comp Meth Sys & Syn Bio,"9:00 - 10:20 AM, TR",TB
ECS 222A,"Filkov, V ",Analysis of Algorithms,"12:10 - 1:30 PM, TR",TB
ECS 223,"Amenta, A ",Parallel Algorithms,TBA,CRUESS 10
ECS 260,"Rubio Gonzalez, C ",Software Engineering,"4:40 - 6:00 PM, TR",TB
ECS 289G,"Lee, Y ",Artificial Intell,	,HOAGLD 16
ECS 290C,The Staff,Grad Res Gp Conf,"2:10 - 3:00 PM, R",TB
ECS 293A,"Nitta, C ",Research in Computer Sci,	,CRUESS 10
ECS 298,The Staff,Group Study,	,TB
ECS 299,The Staff,Research,"4:10 - 5:00 PM, M",TB
ECS 390,"Davis, S ",Teach Comp Sci,	,OLSON 14
